"job_id","job_title","job_location","company_name","salary_year_avg"
308198,"Lead Data Analyst","Dubai - United Arab Emirates","Almosafer",NULL
1648626,"Data Analyst","Doha, Qatar","Work corp",NULL
1412748,"Data Analyst","Doha, Qatar","Want More",NULL
1540831,"Data Analyst","Riyadh Saudi Arabia","Work corp",NULL
228505,"Data Analyst","Riyadh Saudi Arabia","India Abroad",NULL
462546,"Data Analyst","Riyadh Saudi Arabia","Abroad Work",NULL
536912,"Data Analyst","Doha, Qatar","JobCenter",NULL
646788,"Data Analyst","Riyadh Saudi Arabia","Ecojob",NULL
900527,"Data Analyst","United Arab Emirates","Work in USA",NULL
1595337,"Data Analyst","Saudi Arabia","beBee S SA",NULL
1336146,"Data Analyst","Saudi Arabia","Talent Pal",NULL
1228416,"Data Analyst","Doha, Qatar","India Abroad",NULL
1679836,"Data Analyst","Ras Al-Khaimah - Ras al Khaimah - United Arab Emirates","Flyper",NULL
418530,"Principal Data Analyst","Dubai - United Arab Emirates","The Emirates Group",NULL
21838,"Sales Data Analyst","Abu Dhabi - United Arab Emirates","Qureos",NULL
397884,"Data Analyst","Riyadh Saudi Arabia","Workato",NULL
1806576,"Data Analyst","Sharjah - United Arab Emirates","Workato",NULL
911074,"Data Analyst","Dubai - United Arab Emirates","Work in USA",NULL
417728,"TRAINING DATA ANALYST Jobs In Dubai","Dubai - United Arab Emirates","Trans Skills LLC",NULL
534176,"Data Analyst – Dubai Jobs In Dubai 2023","Dubai - United Arab Emirates","TikTok",NULL
1674559,"Data Analyst","Ajman - United Arab Emirates","JobLeader",NULL
124780,"Data Analyst Bim","Saudi Arabia","Talent Pal",NULL
581400,"Data Quality Manager","Abu Dhabi - United Arab Emirates","Five Continents Technical & Industrial Services Est.",NULL
1344009,"Data Analyst","Ajman - United Arab Emirates","Flyper",NULL
181586,"Data Analyst","Saudi Arabia","NEOM",NULL
1315201,"Data Analyst","Dubai - United Arab Emirates","The Emirates Group",NULL
322403,"Data Analyst","Doha, Qatar","Parsons",NULL
445225,"Data Analyst","Dubai - United Arab Emirates","Kitopi",NULL
140885,"Data Analytics Lead","Saudi Arabia","NEOM",NULL
1188368,"Data Analytics Lead","United Arab Emirates","NEOM",NULL
1813241,"Data Analyst","Riyadh Saudi Arabia","Work standard",NULL
437002,"Data Analyst Trainee","Dubai - United Arab Emirates","Chalhoub Group",NULL
474462,"Data Analyst","Doha, Qatar","Workato",NULL
950548,"Data Analyst","Riyadh Saudi Arabia","ConFlip",NULL
478345,"Data Intelligence Manager","Riyadh Saudi Arabia","Almosafer",NULL
1719055,"Data & Inventory Analyst Dubai UAE","Dubai - United Arab Emirates","Gulf Career Hunt",NULL
99148,"Data Analyst","Riyadh Saudi Arabia","Workato",NULL
1534487,"Data Analyst, UDrive","Dubai - United Arab Emirates","CareerMatch",NULL
1046778,"Data Analyst","Al Wakrah, Qatar","Avanta Works",NULL
448017,"Data Analyst","Riyadh Saudi Arabia","Woopel",NULL
3125,"Data Analyst","Doha, Qatar","Abroad Work",NULL
284056,"Data Analyst","Doha, Qatar","Avanta Works",NULL
499521,"Data Analyst","Ras Al-Khaimah - Ras al Khaimah - United Arab Emirates","Work in USA",NULL
1679084,"Data Analytics Manager, PwC","Dubai - United Arab Emirates","CareerMatch",NULL
127659,"Data Analyst","Doha, Qatar","ConFlip",NULL
209095,"Creative Data Analyst (CST)","Dubai - United Arab Emirates","TikTok",NULL
1302478,"Creative Data Analyst Jobs in Dubai","Dubai - United Arab Emirates","TikTok",NULL
1040267,"Analytics Portfolio Manager","Dubai - United Arab Emirates","The Emirates Group",NULL
105742,"Data Analyst","Doha, Qatar","Workato",NULL
603899,"Data Analyst/Specialist Dubai UAE","Dubai - United Arab Emirates","Gulf Career Hunt",NULL
268985,"Statistical Analyst Jobs In Sharjah UAE | Agoda","Sharjah - United Arab Emirates","Agoda",NULL
1770635,"Data Analyst","Riyadh Saudi Arabia","Want More",NULL
1184945,"Data Analyst","Riyadh Saudi Arabia","Avanta Works",NULL
754033,"Data Analyst Jobs In Dubai UAE | Majid Al Futtaim","Dubai - United Arab Emirates","Majid Al Futtaim",NULL
291354,"Data Analyst","Ras Al-Khaimah - Ras al Khaimah - United Arab Emirates","Work in USA",NULL
27655,"Traffic Data Analyst","Dubai - United Arab Emirates","Parsons",NULL
1260119,"Junior Data Analyst","Dubai - United Arab Emirates","Qureos",NULL
979278,"Intelligence Analyst - KSA/UAE - Accenture","Saudi Arabia","Talent Pal",NULL
1436251,"Data Analyst– Distribution","Qatar","confidential",NULL
346574,"MFL-C (AFD) Data Analyst - ROSEN Group","Saudi Arabia","Talent Pal",NULL
302917,"Data Analyst","Riyadh Saudi Arabia","ConFlip",NULL
825865,"Data Analyst","Riyadh Saudi Arabia","ConFlip",NULL
1277207,"DATA ANALYST (Hadoop, Python, SQL)","Dubai - United Arab Emirates","Trans Skills LLC",NULL
471028,"Data Analyst","United Arab Emirates","Work corp",NULL
1362690,"Pricing Executive – Data Analytics Jobs","Dubai - United Arab Emirates","Al Futtaim",NULL
1153569,"Data Analyst","Riyadh Saudi Arabia","Woopel",NULL
757220,"Data Developer Analyst","Dubai - United Arab Emirates","Deriv",NULL
1072366,"Data Analyst","Abu Dhabi - United Arab Emirates","Ecojob",NULL
