job_id,job_title,job_location,company_name,salary_year_avg
466817,Jr. Marketing Data Analyst- Ecommerce,Anywhere,Aquent Studios,65000.0
1596146,Data Analyst,Anywhere,Insight Global,65000.0
384112,Data BI Analyst (Entry Level) - US/Canada,Anywhere,Patterned Learning AI,65000.0
604011,Data BI Analyst (Entry Level),Anywhere,Patterned Learning AI,65000.0
1403912,Data BI Analyst (Entry Level) - US/Canada,Anywhere,Patterned Learning AI,65000.0
450752,Data Analyst,Anywhere,"Mothership Strategies, LLC",65000.0
549336,HR Reporting & Analytics Manager,Anywhere,Get It Recruit - Administrative,65000.0
1538266,Data Analyst - Educational Non-profit,Anywhere,Express Employment Professionals,65000.0
871527,"Analyst, Master Data Management",Anywhere,Ascension,65062.3984375
1010619,Community Data Analyst,Anywhere,Get It Recruit - Information Technology,66500.0
605922,Data Analyst for Democratic Attorneys General and AG Candidates,Anywhere,Get It Recruit - Information Technology,67500.0
60732,Data Analyst (SQL) :Role 3354,Anywhere,iTalent Digital,67500.0
38696,Data Analyst,Anywhere,Insight Global,67500.0
534826,Forensic Data Analyst,Anywhere,Get It Recruit - Information Technology,67500.0
618426,Research/Data Analyst,Anywhere,Get It Recruit - Information Technology,67500.0
1400357,Data Analyst,Anywhere,AllianceChicago,67500.0
243487,Survey Data Analyst,Anywhere,CyberCoders,67500.0
297571,Clinical Data Analyst I (REMOTE-USA),Anywhere,Ambry Genetics Corporation,69000.0
482909,"Data & Analytics Analyst - Virtual, USA",Anywhere,Diversified,69500.0
1473524,Data Analyst,Anywhere,Partnership Employment,70000.0
134039,Data Analyst,Anywhere,Class Action Capital Recovery LLC,70000.0
1128522,Manufacturing Operations Data Analyst,Anywhere,Get It Recruit - Information Technology,70000.0
1264889,Junior Reporting Data Analyst,Anywhere,Get It Recruit - Information Technology,70000.0
723713,Data Analyst,Anywhere,Amplified Sourcing,70000.0
1717917,Data Analyst,Anywhere,Taylor,70000.0
683865,Financial Data Analyst,Anywhere,Global Accounting Network,70000.0
50512,Loan Data Analyst,Anywhere,AdelFi,70000.0
1527329,Data Analyst,Anywhere,Zelo Digital Recruitment,70000.0
442024,Data Analyst,Anywhere,Coda Search│Staffing,70000.0
1397514,Community Data Analyst,Anywhere,Get It Recruit - Information Technology,70000.0
539154,Fraud Data Analyst,Anywhere,Pentasia,70000.0
1109298,Data Analyst,Anywhere,Get It Recruit - Information Technology,70000.0
339742,Healthcare Contract/Data Analyst,Anywhere,Kermit,70000.0
1625061,Asset Verification Data Analyst,Anywhere,Get It Recruit - Information Technology,70000.0
330595,Data Analyst,Anywhere,Ohio Shared Information Services Inc,70000.0
1096460,Investment Operations Data Analyst,Anywhere,Get It Recruit - Information Technology,70500.0
225308,Data Analyst Intern,Anywhere,Get It Recruit - Information Technology,71000.0
897644,Financial Data Analyst,Anywhere,CVS Health,71850.0
361990,Data Analyst,Anywhere,CVS Health,71850.0
1698696,Data Analyst,Anywhere,CVS Health,71850.0
432310,Junior Business/Data Analyst,Anywhere,Get It Recruit - Transportation,72000.0
75121,Product Data Analyst,Dubai - United Arab Emirates,Sana Commerce,72000.0
360331,Data Analyst - Remote,Anywhere,CACI International Inc,72450.0
1446024,Contact Center Data Analyst,Anywhere,CharterUP,72500.0
1262610,Data Analyst,Anywhere,Insight Global,72500.0
1684855,Data Analyst,Anywhere,Every Body Texas,72500.0
621498,Data Analyst III,Anywhere,"Global Healthcare Exchange, Inc.",72500.0
468876,Data Analyst Marketing,Anywhere,Coda Staffing,72500.0
1583314,Pricing Data Analyst,Anywhere,Get It Recruit - Information Technology,72500.0
93604,Data Analyst,Anywhere,Bluesight,72500.0
1395633,Financial Data Analyst,Anywhere,Get It Recruit - Finance,73000.0
769341,Research Scientist (Remote),Anywhere,Center for Open Science,73000.0
1553132,Medicare Compliance Data Analyst,Anywhere,Get It Recruit - Healthcare,73631.0
669824,Data Insight Analyst,Anywhere,Get It Recruit - Healthcare,73696.0
1726747,Data Analyst,Anywhere,Applied Engineering Management Corporation,74000.0
1338279,Data Analyst (Remote),Anywhere,Retriever Medial Dental Payments LLC,74000.0
425984,Healthcare Data Analyst,Anywhere,Get It Recruit - Healthcare,74049.0
47248,Data Scientist/Financial Data Analyst,Anywhere,NCUA,74224.5
813827,Research Data Analyst,Anywhere,Southern California University,74500.0
257140,Data Analyst,Anywhere,Veeva Systems,75000.0
193923,Supply Chain Data Analyst,Anywhere,Get It Recruit - Transportation,75000.0
1406540,Associate Data Analyst,Anywhere,Beyond 12,75000.0
1210145,Research Data Analyst,Anywhere,Health Choice Network,75000.0
1461191,"DATA ANALYST - We offer career advancement, a work-life balance...",Anywhere,Zunch Staffing,75000.0
210881,"Data Analyst - ggplot2, R, SQL, Python- Remote",Anywhere,CyberCoders,75000.0
1517483,Data Analyst - SaaS - EdTech,Anywhere,KodeKloud,75000.0
156786,Junior Data Analyst,Anywhere,Patterned Learning AI,75000.0
1513802,Data Analyst,Anywhere,In Technology Group Inc (US),75000.0
221984,"Data Analyst, Category Management & Demand Planning",Anywhere,MaryRuth's,75000.0
341807,Data Analyst,Anywhere,Get It Recruit - Information Technology,75000.0
1241014,Research Data Analyst,Anywhere,Health Choice Network,75000.0
1065749,HR Data Analyst,Anywhere,Chicken of the Sea,75000.0
1321085,Junior Data Analyst - US/Canada,Anywhere,Patterned Learning AI,75000.0
1170721,Junior Data BI Analyst,Anywhere,Patterned Learning AI,75000.0
764861,HR Jr. Data Analyst,Anywhere,Chicken of the Sea,75000.0
479282,Data Analyst,Anywhere,hackajob,75000.0
240037,Data Analyst,Anywhere,Get It Recruit - Hospitality,75000.0
555049,Data Analyst/Epic Cogito,Anywhere,Engage Partners Inc.,75000.0
368638,"Data Analyst - Department of Surgery/JRSC (Greater NYC Area, NY or...",Anywhere,Memorial Sloan Kettering Cancer Center,75250.0
1365513,Health Data Analyst - Remote,Anywhere,Teacher Retirement System of Texas,75296.0
1068141,Data Analyst (Remote),Anywhere,ServiceTitan,75500.0
